f1ch1,f1ch2,f2ch1,f2ch2,f3ch1,f3ch2,f4ch1,f4ch2,Category
0.0007901078352779042,0.0035865503622421104,0.12737991354089573,0.4201974192246022,36,30,86,56,0
0.0008320969487103516,0.0036889996828296735,0.13325222861972774,0.43283267570870465,36,28,77,59,0
0.0008461587279621796,0.003910486628907968,0.14125116608619007,0.4608117785582312,38,28,77,53,0
0.0008762051121841102,0.003764445999972189,0.14396941225041776,0.45626173663649633,36,28,73,53,0
0.0008934446688734632,0.004014463618208578,0.14429274056672298,0.48253048290128764,36,24,73,59,0
0.000875527527829741,0.00337895692612483,0.14182287335308152,0.4568198674705708,38,28,77,61,0
0.0008821781332280744,0.0031175314246898135,0.1392216129897624,0.4372950328131965,38,32,74,63,0
0.000867696396695202,0.0031104346577463526,0.1338743828816044,0.4551016099483679,36,26,75,62,0
0.0007934418615695132,0.0031383945787466943,0.13205080131359606,0.43261946691380476,36,30,70,60,0
0.0008974023633516287,0.003042391320195159,0.1307081046717198,0.42588162663729734,22,28,72,57,0
0.0008090719657465307,0.00302988037209118,0.11656669018587246,0.411356004835739,30,30,68,57,0
0.0009008526312600162,0.0026874380230787615,0.12887821871595995,0.37401819717138135,34,30,69,61,0
0.0008197842405943311,0.0025377142309175476,0.12218218141020541,0.35410930904163984,32,36,72,63,0
0.0008001013967260296,0.002695437032776281,0.1234055888742809,0.3676962370301963,36,34,78,64,0
0.0008187353463731868,0.0027901882523974617,0.13521833652618695,0.35679559837400543,36,28,80,65,0
0.0008373355862120001,0.0031013486659484486,0.12731240459933435,0.3956387236107504,34,30,80,64,0
0.0009166546172915701,0.003542003436762683,0.13125396704155323,0.44486923701289954,34,24,70,58,0
0.000978334089948624,0.0035293483240228097,0.13425429481085388,0.44520746927222643,30,24,67,53,0
0.0008802247410545913,0.0037515996525126116,0.13621256732838913,0.46637320744461147,40,28,71,56,0
0.0007943975169172365,0.003693150271334073,0.1358613973682285,0.4549892828638883,38,28,75,57,0
0.0008026852913220303,0.0037073091396767426,0.13499727450399657,0.44623186296506306,36,30,76,60,0
0.0008068143075720829,0.0035381288579582493,0.13263755388206291,0.4442849974743571,38,28,75,67,0
0.0007689315018626492,0.0035677130222205216,0.12713569175245215,0.42392757358173105,36,32,77,61,0
0.0007305939161433489,0.0035803226502132564,0.12049082441371192,0.4315374470847839,34,26,73,59,0
0.0007510123142661501,0.0035351866096192254,0.12529034920608143,0.4201083379544859,36,28,72,55,0
0.0007194383904880119,0.0037726490475795404,0.11880146446741581,0.464127346621341,34,28,79,49,0
0.0007711398307340599,0.0035024005115822906,0.1168307879524935,0.4259602074373633,28,24,72,54,0
0.0007585297118474904,0.0031569104456136542,0.1189065861224062,0.4121933739677022,26,28,72,61,0
0.0008572227856650215,0.0035385564543171395,0.12804217790445563,0.41824355123111606,26,22,74,60,0
0.0008116718653857986,0.003261302769770366,0.12853742299988075,0.3973365216655851,30,26,71,61,0
0.0007605423521811998,0.0035564585951166645,0.12223849563297101,0.4419177961200613,34,30,72,56,0
0.000791405307273348,0.003407367383655142,0.12623353498407713,0.4215827338543646,34,30,66,50,0
0.000846921884165681,0.0033026708480033886,0.11357725528111945,0.4118637696799872,32,24,68,55,0
0.0008278818418586587,0.0035087845802483694,0.12120045811213856,0.417526783077766,32,24,70,55,0
0.0008767200452114165,0.0036998271759952567,0.13302549650900866,0.4513305608157015,36,20,70,55,0
0.0008221810016077502,0.003984994339141815,0.13444787787727078,0.46529398533960087,38,26,69,62,0
0.0007910717856115509,0.004238416430185854,0.13579876261434856,0.474726196925767,34,24,71,55,0
0.0007755194735805318,0.0038168381683070045,0.13144094804931244,0.4616539053146554,38,26,75,64,0
0.0008213667057702553,0.0027730948428189932,0.13150128578170542,0.38432227345505926,34,30,73,68,0
0.0008224583689284131,0.00214996533819364,0.10632454796035155,0.29851778106058247,22,26,73,62,0
0.0007266739482533263,0.0014530072680183233,0.08601638746498642,0.20246470354113433,16,24,70,73,0
0.0006078513065843318,0.0010783624816471133,0.062437797901432,0.11996017854692645,10,14,72,76,0
0.00022164791952237318,0.0004902132759089998,0.030452701041305548,0.057055254410722706,30,30,63,68,0
0.00022128708092676176,0.0005671453086437615,0.03156074555357932,0.05823970011617683,28,30,70,65,0
0.00021792203449749932,0.000601648550164205,0.030469315452512028,0.062496103469341646,24,30,69,63,0
0.00021687463801396022,0.0006092022653711743,0.029973265739834436,0.06546462298841134,20,22,64,57,0
0.0002021756677188827,0.000597608972647846,0.029571605160721697,0.06422596160677194,26,24,65,54,0
0.000219921598063251,0.0005256194383496648,0.030732376835400664,0.062770720567277,28,26,60,62,0
0.0018687643950050508,0.0018329106128918426,0.16066603238441615,0.22737641877860654,14,22,58,62,1
0.0026153381825749903,0.002254351691793315,0.21366075168332332,0.27852539719806674,14,24,59,69,1
0.0030345380639991678,0.00212500416666187,0.26400497305041004,0.2950355888130522,20,30,57,77,1
0.0032443195767716797,0.002299655498868547,0.30719503162238904,0.3206492026569705,20,30,56,80,1
0.002951042848400386,0.002055948478277587,0.30566284912538033,0.29636026582153546,22,32,57,87,1
0.002979726786200644,0.0020634679079223005,0.29251764138793424,0.3071702508641174,26,26,49,87,1
0.003363200451752602,0.0021442539835426436,0.2992491038956881,0.3219663631525355,20,30,50,81,1
0.003374423469165946,0.0021611684602703195,0.32569592623236426,0.33460792924436666,22,30,46,80,1
0.004076075332184598,0.0021340336219665417,0.34597795413172394,0.3427613211240861,20,34,47,77,1
0.0033938458198509358,0.0020175159214223673,0.3310854417066229,0.32844242264654905,22,30,59,80,1
0.004105193966927595,0.0019494747130640389,0.3698231363237839,0.32192797138596596,22,30,56,80,1
0.003887485725216276,0.001859578415066607,0.3529455320257244,0.29247373185969056,20,30,59,77,1
0.0036278266112869497,0.001880243512469064,0.3596379707986953,0.2856483325691117,20,36,60,79,1
0.0039712502539280695,0.0021265065023361625,0.40572538756693727,0.3073156340862596,22,40,60,74,1
0.003641184155693272,0.0021533620807304464,0.3731791929889179,0.3054990413274419,22,38,58,70,1
0.0036976759347103596,0.002361111222387255,0.35748291209532407,0.3080413855284339,24,36,59,68,1
0.0038437502873592687,0.002280457805888887,0.36760501045079114,0.3356107417246392,18,36,62,70,1
0.0032496899222894528,0.002125250793827967,0.31250858071157334,0.3077154537207516,24,34,55,72,1
0.0034633413955479607,0.002015885147379356,0.31933200788036287,0.2944671626612849,20,32,58,73,1
0.003118041739845785,0.0021246979113571348,0.3123675466126727,0.31067637586919944,20,26,57,74,1
0.002934666730578456,0.0020289946895937615,0.29456672830471897,0.28972132143953927,26,30,55,71,1
0.0031632698035925573,0.002004543441539297,0.3319193259094384,0.2995830490459426,24,30,51,70,1
0.002925372909660802,0.002194146565913249,0.3306911002884757,0.31907005542462047,28,28,53,71,1
0.003325488187430991,0.00217172638540707,0.36529014191834897,0.3225447805354385,30,34,48,74,1
0.003554069473510974,0.0022185051418605823,0.37596436607147016,0.3428014574821023,26,40,52,66,1
0.003801316628009076,0.0022704021612735934,0.38491743207612655,0.3457818509160292,22,34,53,65,1
0.0034265802845607173,0.0021319516261467924,0.3599829007065393,0.33696465418681304,26,38,49,70,1
0.004049256126691011,0.002063202942135658,0.3859638295756256,0.3286415239426703,32,32,47,76,1
0.003776713947246941,0.0018708244447542433,0.3663508748550408,0.32101392300189435,30,42,51,83,1
0.003502920230466038,0.0017633196296909218,0.3420724102909373,0.28992865948282914,28,44,52,77,1
0.0033520539382273684,0.001693682663675579,0.3335422843588063,0.2845564293501294,24,44,55,76,1
0.003475034910092609,0.002041656687131127,0.33687271347127484,0.3051029028147339,20,30,58,66,1
0.0038888684173208642,0.0019174902243219972,0.34287310142133,0.3020916820906976,18,32,56,75,1
0.0037986914623336877,0.0020625659336498477,0.3535103271008248,0.33817570448597684,28,36,54,71,1
0.003622901178104864,0.0022740559099318114,0.33900047934371313,0.35763039338800373,24,36,58,69,1
0.00328681888620374,0.0022256140890897502,0.3122910501632187,0.3394544428341365,28,36,61,67,1
0.002682738603280872,0.0022787338234625566,0.28989406409794366,0.3485339384411448,28,34,66,65,1
0.0030032791586948036,0.0020951454562066324,0.2971175478849717,0.33069596297578585,24,36,64,66,1
0.003680581011932191,0.001982002923915683,0.31462160968919595,0.3237824050796956,20,32,61,69,1
0.003978919138068289,0.002247955697850069,0.34326511097389906,0.3425935506910102,22,34,60,79,1
0.004093204997990806,0.002228066304704529,0.3712927088034579,0.35501239150837327,24,28,54,78,1
0.0036812554407806347,0.0023011322879810656,0.3490632571894785,0.3568395314477865,20,32,52,84,1
0.0032569606595959015,0.0021702726039602906,0.31338184566913363,0.35724091854865664,24,28,53,83,1
0.00412297186696879,0.0020471953491331104,0.34923489591684753,0.3538522087865724,18,34,47,83,1
0.003762358914345823,0.00208145404230994,0.3381261275272891,0.33046694221602907,20,40,57,88,1
0.003999227975487309,0.002143886087417694,0.373094452155521,0.3328545506847919,22,40,50,82,1
0.00382892160959207,0.002311389830122489,0.3766455217228892,0.3600116971401335,26,38,51,81,1
0.004008073913767292,0.002112133483746992,0.39531562491257355,0.3315062562879587,20,38,48,79,1
0.0006126418796843372,0.0002761403454084975,0.07650041089912776,0.05034246914094394,26,34,74,83,2
0.0005853556133865066,0.00028794372511542835,0.07185343428997673,0.049091824784268136,20,40,72,83,2
0.0005666133053010732,0.00032421866084304183,0.0753324219243116,0.048282085166543746,26,36,74,87,2
0.0006192175689402438,0.0002879519981639579,0.08274574210011464,0.046228539998540374,30,36,70,93,2
0.000634404489722751,0.0002951424040087728,0.09043080942524302,0.04865915817995121,30,32,70,93,2
0.0006423618139449763,0.00029074950016251875,0.09534860238516016,0.04889436652195546,30,38,68,95,2
0.0006754653176208303,0.00032521822815400546,0.09837654611898232,0.04985856387029948,24,34,69,94,2
0.0006814140743534184,0.0003250060969474284,0.10276260275069256,0.05411895763024717,28,40,67,90,2
0.0006623008399224057,0.00032479757371349933,0.09721881116981997,0.055262079323066184,26,42,67,87,2
0.0006084698747380438,0.00033647355261758917,0.09756667157608798,0.05964634775126323,28,40,78,84,2
0.0005597884526864186,0.0003326729824383637,0.08895586000859432,0.05701097105692423,28,42,76,85,2
0.0005020168113736069,0.0003401650917984464,0.08219178877333098,0.057171769936189575,38,44,83,91,2
0.0005673930858739664,0.0003382028155668719,0.08964554237903946,0.05421544640551738,30,38,77,90,2
0.0006558622059281897,0.00033881700687224994,0.09249511070478571,0.05368267298718551,26,36,67,88,2
0.0006470315358966685,0.0003388652040698269,0.08998817225634413,0.05515550517998204,30,40,66,85,2
0.0006735393124965231,0.00033686264276284826,0.08948063067925538,0.0493936516463874,26,36,67,85,2
0.000598246278548885,0.0003329405034735231,0.08481739142643463,0.055751185786792286,26,32,66,84,2
0.0005571029300389183,0.00032785108203087866,0.08331848278577408,0.05512041534592753,34,34,69,86,2
0.0006024746241104956,0.0003435276586942658,0.08869662197042391,0.05817653448946197,32,32,69,87,2
0.0005463817997668046,0.00033328152999557536,0.08298312643716381,0.05549565949720451,32,42,66,83,2
0.0005305177376224858,0.0003206735792231736,0.08234762409733615,0.050746856309285424,34,36,68,81,2
0.0005548355824335022,0.00032547084632674833,0.07702760166448454,0.05009776734226403,26,34,69,76,2
0.0005475882697557405,0.0003088839993197219,0.07955343103764075,0.04848957220777348,34,36,74,78,2
