f1ch1,f1ch2,f2ch1,f2ch2,f3ch1,f3ch2,f4ch1,f4ch2,Category
0.00029727229385772733,0.0005154656627450342,0.036720665688439486,0.07707641968738484,24,28,71,69,0
0.000357984500620938,0.00071176220702819,0.0442886269424899,0.09432805838068105,22,26,66,65,0
0.00030822474700002597,0.0006629722980398428,0.04150928493118387,0.09665385270483545,26,30,67,73,0
0.0003514469299099832,0.0007095640417620862,0.04412013573747057,0.09897504917846321,26,32,63,71,0
0.00036819072461514855,0.0008059127963937318,0.04780265763838284,0.11966738069708581,24,28,64,70,0
0.0003528434752037348,0.0007974268926659684,0.04714704755053312,0.1191276961935135,28,32,63,77,0
0.000412640385353972,0.0009064336435603536,0.05165945833403028,0.13292315823762216,30,30,64,70,0
0.00037826616872916593,0.001084176298127975,0.049210660135539944,0.15838457432274577,26,32,68,62,0
0.00043205380423777247,0.0012139692479742389,0.05005693403945308,0.18374565110836488,24,34,63,61,0
0.0004582483168269527,0.001289564935913794,0.052021322581255046,0.1823768009187664,20,32,64,58,0
0.0004126974688337138,0.0013308704510896316,0.04842162243755556,0.19660699214407087,26,34,72,62,0
0.00043493528085929807,0.001228690124764972,0.049034047695345764,0.17925467103228915,22,30,70,66,0
0.0003534728590011091,0.0010654803897224457,0.046721441996327405,0.1642684401516885,25,34,69,74,0
0.0003666319266525563,0.0010588323566045922,0.046633251780166085,0.17372830315284235,24,28,66,72,0
0.00035526769597290836,0.0009742621247277965,0.04934001978582929,0.15795537261770376,30,36,69,72,0
0.000320012320987773,0.001007109135329655,0.04881771661054371,0.1662291495323067,32,34,78,71,0
0.00027252790608601357,0.001043783430498343,0.049089237439963275,0.15626428065882064,34,28,81,64,0
0.0003291120889503967,0.0010361666716031909,0.05467955694879717,0.16347846558940712,36,40,80,67,0
0.00030739076774065295,0.0012023867159793135,0.050589538765916264,0.16964466353652713,38,34,77,65,0
0.00030377467178236783,0.0013057883014691563,0.04886292169707978,0.17346563733271103,32,28,72,59,0
0.0003169161716212821,0.001314281877449252,0.04801160801725757,0.18291728608283844,30,32,75,62,0
0.00033925607344137784,0.0014312158369624004,0.048222536449475426,0.20030305819556493,24,30,69,58,0
0.00044805555913356615,0.0013057816731372718,0.05630575523053498,0.1884401182183719,28,28,62,60,0
0.00045323054786666967,0.0012614991091187,0.05798531254163822,0.18839382942654842,30,28,68,65,0
0.00043850532243862864,0.0011950887527258053,0.05973855072497323,0.19625020641910784,34,32,65,67,0
0.00039903587564048027,0.001106110214019096,0.05512594023707539,0.18471070323287467,36,34,76,66,0
0.0003350607930147223,0.0012219108881226881,0.04733591863702053,0.18671734065569207,38,34,76,69,0
0.00035561348088822254,0.001121275906003357,0.048103782593616334,0.17572962180678595,28,34,67,71,0
0.00035754260781289173,0.0009517443518415553,0.047920796228970934,0.15459338391678987,28,34,71,70,0
0.0003601610907658066,0.0012015966419009648,0.04811156641317624,0.16034469295483256,30,26,65,67,0
0.0004110710769580827,0.001358000151524863,0.05738890810500539,0.18128639359735502,28,28,69,65,0
0.00042429056328407885,0.001554878191816447,0.05944807318578124,0.19979191470493038,30,28,67,55,0
0.00041868299644769224,0.001646937744322248,0.06244409879417047,0.2072222914323978,32,36,66,55,0
0.0003904276216377544,0.0015520161301766117,0.060975237167004606,0.20972239487778985,30,28,75,57,0
0.000342728753566424,0.0014345444786220032,0.05295760135794759,0.20482618163633362,40,28,73,59,0
0.0003163950611546345,0.0011635696775075487,0.048871242608778794,0.1772595429415942,38,30,76,67,0
