ch 1: '0.000000' 	 ch 2: '0.000000' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001355' 	 ch 2: '0.001690' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.000000' 	 ch 2: '0.000000' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.000000' 	 ch 2: '0.000000' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001355' 	 ch 2: '0.001689' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.000000' 	 ch 2: '0.000000' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.000000' 	 ch 2: '0.000000' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.000000' 	 ch 2: '0.000000' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001349' 	 ch 2: '0.001690' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001354' 	 ch 2: '0.001690' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001356' 	 ch 2: '0.001689' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001356' 	 ch 2: '0.001692' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001351' 	 ch 2: '0.001692' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001356' 	 ch 2: '0.001691' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001350' 	 ch 2: '0.001687' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001349' 	 ch 2: '0.001689' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
